"Image type","Feature Class","Feature Name","103: RTSTRUCT: TN_mammella_segm_1_segment_tmammella","103: RTSTRUCT: TN_mammella_segm_1_segment_n_ascella"
"diagnostics","Versions","PyRadiomics","v3.1.0","v3.1.0"
"diagnostics","Versions","Numpy","1.23.4","1.23.4"
"diagnostics","Versions","SimpleITK","2.2.0rc2.dev368","2.2.0rc2.dev368"
"diagnostics","Versions","PyWavelet","1.4.1","1.4.1"
"diagnostics","Versions","Python","3.9.10","3.9.10"
"diagnostics","Configuration","Settings","{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 25.0, 'symmetricalGLCM': True, 'correctMask': True}","{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 25.0, 'symmetricalGLCM': True, 'correctMask': True}"
"diagnostics","Configuration","EnabledImageTypes","{'Original': {}, 'Wavelet': {}}","{'Original': {}, 'Wavelet': {}}"
"diagnostics","Image-original","Hash","d52ec98d183aede77fd7db4f8910c2b402209d18","d52ec98d183aede77fd7db4f8910c2b402209d18"
"diagnostics","Image-original","Dimensionality","3D","3D"
"diagnostics","Image-original","Spacing","(0.976562, 0.976562, 3.27)","(0.976562, 0.976562, 3.27)"
"diagnostics","Image-original","Size","(512, 512, 285)","(512, 512, 285)"
"diagnostics","Image-original","Mean","-1188.6805014359325","-1188.6805014359325"
"diagnostics","Image-original","Minimum","-3024.0","-3024.0"
"diagnostics","Image-original","Maximum","3071.0","3071.0"
"diagnostics","Mask-original","Hash","a011ded2448d20e6a2540e98cd08a620a4170af7","fb1e8e2ede9a7018722ba58318bf726d95a65897"
"diagnostics","Mask-original","Spacing","(0.976562, 0.976562, 3.27)","(0.976562, 0.976562, 3.27)"
"diagnostics","Mask-original","Size","(512, 512, 285)","(512, 512, 285)"
"diagnostics","Mask-original","BoundingBox","(383, 212, 177, 15, 16, 5)","(388, 234, 204, 27, 13, 10)"
"diagnostics","Mask-original","VoxelNum","580","1147"
"diagnostics","Mask-original","VolumeNum","1","1"
"diagnostics","Mask-original","CenterOfMassIndex","(391.0086206896552, 218.39310344827587, 178.95344827586206)","(400.58326068003487, 239.34524847428074, 207.39668700959024)"
"diagnostics","Mask-original","CenterOfMass","(131.84416063793103, -36.725594110344815, -306.2522241379311)","(141.1943902162162, -16.264525459459435, -213.2428334786399)"
"original","shape","Elongation","0.9408651915101346","0.689111495931805"
"original","shape","Flatness","0.9119716842869785","0.2792376189954862"
"original","shape","LeastAxisLength","13.321486826401687","9.596225179677855"
"original","shape","MajorAxisLength","14.607346977902104","34.3658036270284"
"original","shape","Maximum2DDiameterColumn","19.044417396822617","36.45584696224385"
"original","shape","Maximum2DDiameterRow","17.62987808990465","33.86056025123276"
"original","shape","Maximum2DDiameterSlice","17.277145463622514","28.854060817912824"
"original","shape","Maximum3DDiameter","19.268442958448823","36.66452715053132"
"original","shape","MeshVolume","1765.3375668351744","3496.891255606401"
"original","shape","MinorAxisLength","13.743544311818848","23.68187034632019"
"original","shape","Sphericity","0.764855516368673","0.5625307155586065"
"original","shape","SurfaceArea","923.5418142556389","1980.5811204248491"
"original","shape","SurfaceVolumeRatio","0.5231530963855979","0.5663833890314652"
"original","shape","VoxelVolume","1808.7368563481307","3576.9330590194927"
"original","firstorder","10Percentile","-85.1","-25.39999999999999"
